total_bill,tip,sex,smoker,day,time,size
25.21,4.29,Male,Yes,Sat,Dinner,2
25.28,5.0,Female,Yes,Sat,Dinner,2
25.29,4.71,Male,No,Sun,Dinner,4
25.56,4.34,Male,No,Sun,Dinner,4
25.71,4.0,Female,No,Sun,Dinner,3
25.89,5.16,Male,Yes,Sat,Dinner,4
26.41,1.5,Female,No,Sat,Dinner,2
26.59,3.41,Male,Yes,Sat,Dinner,3
26.86,3.14,Female,Yes,Sat,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
27.05,5.0,Female,No,Thur,Lunch,6
27.18,2.0,Female,Yes,Sat,Dinner,2
27.2,4.0,Male,No,Thur,Lunch,4
27.28,4.0,Male,Yes,Fri,Dinner,2
28.15,3.0,Male,Yes,Sat,Dinner,5
28.17,6.5,Female,Yes,Sat,Dinner,3
28.44,2.56,Male,Yes,Thur,Lunch,2
28.55,2.05,Male,No,Sun,Dinner,3
28.97,3.0,Male,Yes,Fri,Dinner,2
29.03,5.92,Male,No,Sat,Dinner,3
29.8,4.2,Female,No,Thur,Lunch,6
29.85,5.14,Female,No,Sun,Dinner,5
29.93,5.07,Male,No,Sun,Dinner,4
30.06,2.0,Male,Yes,Sat,Dinner,3
30.14,3.09,Female,Yes,Sat,Dinner,4
30.4,5.6,Male,No,Sun,Dinner,4
30.46,2.0,Male,Yes,Sun,Dinner,5
31.27,5.0,Male,No,Sat,Dinner,3
31.71,4.5,Male,No,Sun,Dinner,4
31.85,3.18,Male,Yes,Sun,Dinner,2
32.4,6.0,Male,No,Sun,Dinner,4
32.68,5.0,Male,Yes,Thur,Lunch,2
32.83,1.17,Male,Yes,Sat,Dinner,2
32.9,3.11,Male,Yes,Sun,Dinner,2
34.3,6.7,Male,No,Thur,Lunch,6
34.63,3.55,Male,Yes,Sun,Dinner,2
34.65,3.68,Male,Yes,Sun,Dinner,4
34.81,5.2,Female,No,Sun,Dinner,4
34.83,5.17,Female,No,Thur,Lunch,4
35.26,5.0,Female,No,Sun,Dinner,4
35.83,4.67,Female,No,Sat,Dinner,3
38.01,3.0,Male,Yes,Sat,Dinner,4
38.07,4.0,Male,No,Sun,Dinner,3
38.73,3.0,Male,Yes,Sat,Dinner,4
39.42,7.58,Male,No,Sat,Dinner,4
40.17,4.73,Male,Yes,Fri,Dinner,4
40.55,3.0,Male,Yes,Sun,Dinner,2
41.19,5.0,Male,No,Thur,Lunch,5
43.11,5.0,Female,Yes,Thur,Lunch,4
44.3,2.5,Female,Yes,Sat,Dinner,3
45.35,3.5,Male,Yes,Sun,Dinner,3
48.17,5.0,Male,No,Sun,Dinner,6
48.27,6.73,Male,No,Sat,Dinner,4
48.33,9.0,Male,No,Sat,Dinner,4
50.81,10.0,Male,Yes,Sat,Dinner,3
